2022-05-31/17:08:08		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:08:30		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:08:59		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:10:12		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:10:40		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:11:02		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:11:22		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:11:49		Data Transformation failed because:: 'nativecountry,income'
2022-05-31/17:24:19		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:24:39		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:25:11		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:25:32		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:25:51		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:26:12		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:27:10		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:27:45		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:28:10		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/17:31:18		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/17:32:00		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/17:32:28		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/17:33:25		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/17:34:03		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/17:36:51		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/17:49:17		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/17:50:47		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/17:51:50		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/21:35:20		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/21:35:39		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/21:35:57		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/21:36:16		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/21:36:35		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/21:36:54		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/21:37:13		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/21:37:35		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/21:37:53		 incomeData_021119910_010212.csv: Quotes added successfully!!
2022-05-31/21:38:17		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/21:38:34		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/21:38:51		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/21:39:11		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/21:39:32		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/21:39:54		 incomeData_021119911_010213.csv: Quotes added successfully!!
2022-05-31/21:40:13		 incomeData_021119911_010213.csv: Quotes added successfully!!
